"Gene","MM","GS"
"ENSG00000132485",0.976316707341251,0.809342795522029
"ENSG00000147679",0.974481555464127,0.876894533828418
"ENSG00000138594",0.935971540690321,0.886512576367443
"ENSG00000082996",0.935076550883684,0.802590116715511
"ENSG00000092140",0.930671207586794,0.853318275876233
"ENSG00000167548",0.927752837944493,0.819748052852365
"ENSG00000229127",0.923851005486539,0.822253062595246
"ENSG00000278590",0.922393266671869,0.858700966201945
"ENSG00000293354",0.919585157880755,0.848405634619097
"ENSG00000171456",0.905690075825371,0.839193525693998
"ENSG00000164654",0.905013274884864,0.81218145168026
